state,city_or_county,num_killed,num_incidents,num_killed_ranking,running_total_num_killed,running_total_percent_of_all_killed,running_total_num_incidents,running_total_percent_of_all_incidents
Illinois,Chicago,435,410,1,435,3.33%,410,3.53%
Texas,Houston,280,244,2,715,5.47%,654,5.63%
Maryland,Baltimore,264,249,3,979,7.49%,903,7.77%
New York,New York,263,245,4,1242,9.50%,1148,9.88%
Missouri,Saint Louis,198,180,5,1440,11.02%,1328,11.43%
Pennsylvania,Philadelphia,180,171,6,1620,12.40%,1499,12.90%
Louisiana,New Orleans,174,160,7,1794,13.73%,1659,14.28%
Indiana,Indianapolis,137,130,8,1931,14.78%,1789,15.39%
Nevada,Las Vegas,130,112,9,2061,15.77%,1901,16.36%
Wisconsin,Milwaukee,130,123,10,2191,16.77%,2024,17.42%
Michigan,Detroit,124,115,11,2315,17.72%,2139,18.41%
California,Los Angeles,123,111,12,2438,18.66%,2250,19.36%
Tennessee,Memphis,122,110,13,2560,19.59%,2360,20.31%
District of Columbia,Washington,121,118,14,2681,20.52%,2478,21.32%
Ohio,Cleveland,109,97,15,2790,21.35%,2575,22.16%
Ohio,Columbus,93,85,16,2883,22.06%,2660,22.89%
Georgia,Atlanta,91,84,17,2974,22.76%,2744,23.61%
Texas,San Antonio,91,86,18,3065,23.46%,2830,24.35%
Missouri,Kansas City,87,79,19,3152,24.12%,2909,25.03%
Florida,Jacksonville,86,75,20,3238,24.78%,2984,25.68%
Texas,Dallas,86,72,21,3324,25.44%,3056,26.30%
California,Oakland,83,76,22,3407,26.07%,3132,26.95%
Alabama,Birmingham,81,77,23,3488,26.69%,3209,27.61%
Kentucky,Louisville,79,73,24,3567,27.30%,3282,28.24%
Arizona,Phoenix,78,69,25,3645,27.89%,3351,28.84%
Louisiana,Baton Rouge,75,67,26,3720,28.47%,3418,29.41%
New Jersey,Newark,72,71,27,3792,29.02%,3489,30.02%
North Carolina,Charlotte,65,54,28,3857,29.52%,3543,30.49%
Florida,Miami,64,57,29,3921,30.01%,3600,30.98%
Tennessee,Nashville,59,56,30,3980,30.46%,3656,31.46%
Oklahoma,Oklahoma City,58,56,31,4038,30.90%,3712,31.94%
Pennsylvania,Pittsburgh,55,51,32,4093,31.32%,3763,32.38%
Texas,Fort Worth,55,48,33,4148,31.74%,3811,32.79%
Ohio,Cincinnati,54,50,34,4202,32.16%,3861,33.22%
Georgia,Savannah,50,42,35,4252,32.54%,3903,33.59%
Oklahoma,Tulsa,50,45,36,4302,32.92%,3948,33.97%
Florida,Orlando,49,45,37,4351,33.30%,3993,34.36%
New Mexico,Albuquerque,49,45,38,4400,33.67%,4038,34.75%
Michigan,Flint,47,44,39,4447,34.03%,4082,35.13%
Mississippi,Jackson,46,45,40,4493,34.38%,4127,35.51%
Colorado,Denver,45,42,41,4538,34.73%,4169,35.87%
Indiana,Gary,45,41,42,4583,35.07%,4210,36.23%
Texas,Harris County,43,41,43,4626,35.40%,4251,36.58%
Nebraska,Omaha,42,33,44,4668,35.72%,4284,36.86%
Minnesota,Minneapolis,41,36,45,4709,36.04%,4320,37.17%
Massachusetts,Boston,38,36,46,4747,36.33%,4356,37.48%
Virginia,Richmond,38,36,47,4785,36.62%,4392,37.79%
California,Sacramento,37,34,48,4822,36.90%,4426,38.09%
Alabama,Montgomery,36,33,49,4858,37.18%,4459,38.37%
New York,Buffalo,35,33,50,4893,37.45%,4492,38.65%
California,San Bernardino,34,18,51,4927,37.71%,4510,38.81%
Florida,Tampa,34,30,52,4961,37.97%,4540,39.07%
North Carolina,Durham,34,33,53,4995,38.23%,4573,39.35%
California,Fresno,33,29,54,5028,38.48%,4602,39.60%
Virginia,Norfolk,32,31,55,5060,38.72%,4633,39.87%
Kansas,Kansas City,31,29,56,5091,38.96%,4662,40.12%
New Jersey,Camden,31,30,57,5122,39.20%,4692,40.38%
South Carolina,Columbia,31,29,58,5153,39.44%,4721,40.62%
California,Stockton,30,28,59,5183,39.66%,4749,40.87%
Colorado,Colorado Springs,30,21,60,5213,39.89%,4770,41.05%
Arkansas,Little Rock,29,27,61,5242,40.12%,4797,41.28%
Kansas,Wichita,29,25,62,5271,40.34%,4822,41.49%
California,San Diego,28,23,63,5299,40.55%,4845,41.69%
Delaware,Wilmington,28,28,64,5327,40.77%,4873,41.93%
Arizona,Tucson,27,21,65,5354,40.97%,4894,42.11%
Louisiana,Shreveport,27,26,66,5381,41.18%,4920,42.34%
California,Long Beach,26,25,67,5407,41.38%,4945,42.55%
Connecticut,Hartford,26,25,68,5433,41.58%,4970,42.77%
New York,Rochester,26,23,69,5459,41.78%,4993,42.97%
California,Salinas,25,21,70,5484,41.97%,5014,43.15%
California,San Francisco,25,21,71,5509,42.16%,5035,43.33%
Indiana,Fort Wayne,25,24,72,5534,42.35%,5059,43.53%
Oregon,Portland,25,23,73,5559,42.54%,5082,43.73%
Tennessee,Chattanooga,25,20,74,5584,42.73%,5102,43.90%
Virginia,Newport News,25,21,75,5609,42.92%,5123,44.08%
Alaska,Anchorage,24,18,76,5633,43.11%,5141,44.24%
California,San Jose,24,22,77,5657,43.29%,5163,44.43%
Texas,El Paso,24,21,78,5681,43.48%,5184,44.61%
California,Bakersfield,23,21,79,5704,43.65%,5205,44.79%
Georgia,Macon,23,22,80,5727,43.83%,5227,44.98%
Ohio,Akron,23,23,81,5750,44.00%,5250,45.18%
Alabama,Mobile,22,21,82,5772,44.17%,5271,45.36%
Florida,West Palm Beach,22,19,83,5794,44.34%,5290,45.52%
Virginia,Portsmouth,22,21,84,5816,44.51%,5311,45.70%
Louisiana,Lafayette,21,18,85,5837,44.67%,5329,45.86%
Ohio,Dayton,21,20,86,5858,44.83%,5349,46.03%
California,Richmond,20,18,87,5878,44.98%,5367,46.18%
Georgia,Columbus,20,20,88,5898,45.14%,5387,46.36%
North Carolina,Greensboro,20,18,89,5918,45.29%,5405,46.51%
South Carolina,Charleston,20,12,90,5938,45.44%,5417,46.61%
Texas,Killeen,20,14,91,5958,45.60%,5431,46.73%
Texas,Waco,20,11,92,5978,45.75%,5442,46.83%
Tennessee,Knoxville,19,18,93,5997,45.89%,5460,46.98%
Texas,Austin,19,18,94,6016,46.04%,5478,47.14%
Florida,Tallahassee,18,16,95,6034,46.18%,5494,47.28%
Illinois,East Saint Louis,18,17,96,6052,46.32%,5511,47.42%
Illinois,Rockford,18,17,97,6070,46.45%,5528,47.57%
South Carolina,North Charleston,18,17,98,6088,46.59%,5545,47.72%
Washington,Seattle,18,18,99,6106,46.73%,5563,47.87%
Colorado,Aurora,17,17,100,6123,46.86%,5580,48.02%
Indiana,South Bend,17,16,101,6140,46.99%,5596,48.15%
New York,Syracuse,17,17,102,6157,47.12%,5613,48.30%
Ohio,Toledo,17,15,103,6174,47.25%,5628,48.43%
Connecticut,Bridgeport,16,15,104,6190,47.37%,5643,48.56%
Iowa,Des Moines,16,13,105,6206,47.49%,5656,48.67%
Minnesota,Saint Paul,16,15,106,6222,47.62%,5671,48.80%
North Carolina,Fayetteville,16,16,107,6238,47.74%,5687,48.94%
North Carolina,Raleigh,16,15,108,6254,47.86%,5702,49.07%
Pennsylvania,Harrisburg,16,16,109,6270,47.98%,5718,49.20%
Texas,Corpus Christi,16,15,110,6286,48.11%,5733,49.33%
Arizona,Mesa,15,15,111,6301,48.22%,5748,49.46%
Arkansas,North Little Rock,15,14,112,6316,48.34%,5762,49.58%
Florida,Fort Myers,15,14,113,6331,48.45%,5776,49.70%
Florida,Miami-dade (county),15,15,114,6346,48.57%,5791,49.83%
Georgia,Augusta,15,14,115,6361,48.68%,5805,49.95%
Illinois,Peoria,15,15,116,6376,48.79%,5820,50.08%
Missouri,Springfield,15,10,117,6391,48.91%,5830,50.17%
Texas,Longview,15,15,118,6406,49.02%,5845,50.30%
Virginia,Petersburg,15,13,119,6421,49.14%,5858,50.41%
Virginia,Virginia Beach,15,13,120,6436,49.25%,5871,50.52%
California,Modesto,14,10,121,6450,49.36%,5881,50.61%
Connecticut,New Haven,14,14,122,6464,49.47%,5895,50.73%
Georgia,Decatur,14,14,123,6478,49.58%,5909,50.85%
Kansas,Topeka,14,13,124,6492,49.68%,5922,50.96%
Missouri,Saint Louis (county),14,14,125,6506,49.79%,5936,51.08%
South Carolina,Greenville,14,14,126,6520,49.90%,5950,51.20%
Tennessee,Clarksville,14,14,127,6534,50.00%,5964,51.32%
Texas,Beaumont,14,13,128,6548,50.11%,5977,51.43%
Florida,Saint Petersburg,13,13,129,6561,50.21%,5990,51.54%
Kentucky,Lexington,13,12,130,6574,50.31%,6002,51.65%
