tract_fips,num_killed,num_incidents,city_or_county,state,tract_square_mileage,2014_tract_population,2014_tract_population_black,2014_tract_population_over_age_25_with_no_hs_degree,2014_tract_population_below_poverty_line,,,,,,,,,,,
48201100000,21(a),17(a),Houston,Texas,1.47,"4,178",14.22%,13.37%,12.78%,,,,,,,,,,,3.33%
6071007200,16,1,San Bernardino,California,3.63,"7,196",2.58%,30.77%,36.48%,,,,,,,,,,,
22071001751,10,8,New Orleans,Louisiana,16.27,802,63.84%,34.76%,59.10%,,,,,,,,,,,
41019120000,10,1,Roseburg,Oregon,16.04,"7,900",0.96%,11.04%,26.35%,,,,,,,,,,,
29510106400,9,9,Saint Louis,Missouri,0.43,"2,692",99.03%,21.37%,34.51%,,,,,,,,,,,
29510110300,9,6,Saint Louis,Missouri,0.36,"2,093",96.80%,19.28%,27.52%,,,,,,,,,,,
22071013400,9,8,New Orleans,Louisiana,1.02,"2,294",24.24%,10.44%,32.74%,,,,,,,,,,,
32003000301,9,7,Las Vegas,Nevada,1.41,"2,254",51.73%,26.48%,38.24%,,,,,,,,,,,
48113020400,9,6,Dallas,Texas,2.61,"5,681",34.25%,11.87%,29.13%,,,,,,,,,,,
45019000700,9,1,Charleston,South Carolina,0.28,"3,246",23.48%,13.87%,38.94%,,,,,,,,,,,
48309002100,9,1,Waco,Texas,3.14,"5,216",24.46%,25.45%,39.44%,,,,,,,,,,,
17163504500,9,9,Brooklyn,Illinois,7.06,"5,509",93.57%,19.92%,49.66%,,,,,,,,,,,
17031251800,8,8,Chicago,Illinois,0.39,"5,069",98.82%,32.74%,39.55%,,,,,,,,,,,
48201533801,8,1,Houston,Texas,3.28,"9,080",20.52%,37.94%,22.78%,,,,,,,,,,,
24510180100,8,6,Baltimore,Maryland,0.13,"2,079",96.92%,46.94%,63.06%,,,,,,,,,,,
29510110400,8,7,Saint Louis,Missouri,0.34,"2,356",98.94%,18.03%,16.09%,,,,,,,,,,,
29510115100,8,5,Saint Louis,Missouri,0.44,"4,156",11.26%,23.93%,20.24%,,,,,,,,,,,
26049000900,8,8,Flint,Michigan,0.86,"3,597",84.40%,15.61%,35.39%,,,,,,,,,,,
29215480200,8,1,Tyrone,Missouri,403.07,"5,291",0.00%,13.49%,21.22%,,,,,,,,,,,
22033004301,8,2,Baker,Louisiana,23.48,"6,386",19.46%,4.65%,5.65%,,,,,,,,,,,
24510160700,7,6,Baltimore,Maryland,0.37,"4,282",96.36%,30.87%,30.10%,,,,,,,,,,,
29510106200,7,6,Saint Louis,Missouri,0.42,"1,881",99.10%,25.87%,57.15%,,,,,,,,,,,
29510107300,7,6,Saint Louis,Missouri,0.61,"4,906",97.62%,22.91%,34.39%,,,,,,,,,,,
11001007304,7,5,Washington,District of Columbia,0.48,"3,640",93.87%,21.14%,37.01%,,,,,,,,,,,
39035116600,7,7,Cleveland,Ohio,0.34,"2,577",97.24%,24.97%,41.79%,,,,,,,,,,,
13121007706,7,5,Atlanta,Georgia,4.9,"9,337",95.16%,11.68%,13.90%,,,,,,,,,,,
22033000500,7,6,Baton Rouge,Louisiana,0.9,"4,075",97.62%,32.80%,43.93%,,,,,,,,,,,
22033000900,7,5,Baton Rouge,Louisiana,0.84,"4,597",95.30%,26.26%,31.22%,,,,,,,,,,,
47037012701,7,5,Nashville,Tennessee,3.2,"5,223",92.49%,15.52%,38.06%,,,,,,,,,,,
47065011411,7,2,Chattanooga,Tennessee,4.74,"4,250",40.89%,10.38%,13.15%,,,,,,,,,,,
28085950600,7,6,Brookhaven,Mississippi,7.24,"5,724",45.68%,6.49%,27.55%,,,,,,,,,,,
45053950202,7,7,Ridgeland,South Carolina,103.14,"8,857",52.09%,19.61%,23.35%,,,,,,,,,,,
17031230600,6,6,Chicago,Illinois,0.39,"6,933",39.23%,28.12%,38.70%,,,,,,,,,,,
17031231500,6,5,Chicago,Illinois,0.39,"6,965",91.17%,38.07%,43.82%,,,,,,,,,,,
17031252102,6,6,Chicago,Illinois,0.26,"5,888",100.00%,29.11%,37.53%,,,,,,,,,,,
48201240502,6,2,Houston,Texas,0.25,"5,065",57.59%,38.13%,40.53%,,,,,,,,,,,
48201331602,6,4,Houston,Texas,2.31,"2,198",70.20%,33.46%,35.35%,,,,,,,,,,,
24510100100,6,6,Baltimore,Maryland,0.18,"2,095",96.95%,25.63%,32.89%,,,,,,,,,,,
24510150600,6,5,Baltimore,Maryland,0.37,"2,451",100.00%,30.18%,32.11%,,,,,,,,,,,
29510125500,6,6,Saint Louis,Missouri,0.42,"2,791",25.98%,6.75%,17.99%,,,,,,,,,,,
29510126900,6,6,Saint Louis,Missouri,1.67,"4,689",93.60%,19.95%,36.43%,,,,,,,,,,,
29510127000,6,5,Saint Louis,Missouri,4.07,"2,296",81.84%,24.68%,19.12%,,,,,,,,,,,
22071001736,6,5,New Orleans,Louisiana,0.79,"2,072",94.93%,21.09%,30.45%,,,,,,,,,,,
55079006300,6,6,Milwaukee,Wisconsin,0.34,"2,391",93.48%,23.31%,46.09%,,,,,,,,,,,
26163546700,6,5,Detroit,Michigan,0.49,"2,903",93.87%,16.07%,32.31%,,,,,,,,,,,
11001007808,6,6,Washington,District of Columbia,0.36,"4,324",97.50%,23.13%,32.10%,,,,,,,,,,,
39049004700,6,3,Columbus,Ohio,0.51,"4,702",29.69%,38.26%,53.89%,,,,,,,,,,,
29095003400,6,6,Kansas City,Missouri,0.49,"2,301",55.54%,37.27%,47.63%,,,,,,,,,,,
1073002900,6,4,Birmingham,Alabama,0.9,"2,062",97.62%,29.80%,49.08%,,,,,,,,,,,
1073005101,6,6,Birmingham,Alabama,0.29,"1,896",98.10%,21.82%,58.07%,,,,,,,,,,,
21111002400,6,6,Louisville,Kentucky,0.83,"5,175",88.81%,26.76%,44.12%,,,,,,,,,,,
22033005300,6,5,Baton Rouge,Louisiana,1.02,"2,873",68.47%,19.74%,38.11%,,,,,,,,,,,
48439123300,6,6,Fort Worth,Texas,1.74,"4,531",18.63%,14.20%,5.21%,,,,,,,,,,,
26049003400,6,5,Flint,Michigan,0.5,"2,020",73.47%,16.37%,71.78%,,,,,,,,,,,
1101002900,6,5,Montgomery,Alabama,1.93,"7,739",92.22%,13.15%,32.17%,,,,,,,,,,,
12099002200,6,4,West Palm Beach,Florida,0.33,"1,714",89.09%,28.84%,48.37%,,,,,,,,,,,
22051026100,6,5,Harvey,Louisiana,0.84,"4,061",44.23%,27.59%,38.88%,,,,,,,,,,,
13285960902,6,2,Lagrange,Georgia,42.76,"6,773",16.61%,10.34%,7.31%,,,,,,,,,,,
29175490400,6,2,Moberly,Missouri,3.65,"3,274",6.90%,5.20%,8.70%,,,,,,,,,,,
