gva_id,incident_date,state,city_or_county_guardian_corrected,city_or_county_original_gva,address,num_killed,num_injured,latitude,longitude,gva_url,fips_full,fips_state,fips_county,fips_tract,fips_block,fips_full_tract,tract_land_square_miles,tract_water_square_miles
376457,7/16/15,Alabama,Andalusia,Andalusia,Leon Wiggins Road,1,0,31.2616,-86.3769,http://www.gunviolencearchive.org/incident/376457,010399623003016,01,039,962300,3016,01039962300,107.68,1.04
465075,12/13/15,Alabama,Anniston,Anniston,1801 S. Quintard Avenue,1,0,33.6679,-85.8267,http://www.gunviolencearchive.org/incident/465075,010150002001052,01,015,000200,1052,01015000200,2.63,0.00
294446,2/14/15,Alabama,Anniston,Anniston,2900 block of Wilmer Avenue,1,0,33.6762,-85.8286,http://www.gunviolencearchive.org/incident/294446,010150003001023,01,015,000300,1023,01015000300,1.01,0.02
318249,3/27/15,Alabama,Anniston,Anniston,N/A,1,0,33.6586,-85.8594,http://www.gunviolencearchive.org/incident/318249,010150004001031,01,015,000400,1031,01015000400,3.91,0.00
439828,10/30/15,Alabama,Anniston,Anniston,West 15th Street,1,0,33.6637,-85.841,http://www.gunviolencearchive.org/incident/439828,010150005002046,01,015,000500,2046,01015000500,0.91,0.00
434810,10/19/15,Alabama,Anniston,Anniston,3600 block of West 14th Street,1,0,33.6619,-85.8747,http://www.gunviolencearchive.org/incident/434810,010150014001013,01,015,001400,1013,01015001400,8.21,0.01
311784,3/21/15,Alabama,Anniston,Anniston,Ragan Drive,1,1,33.6508,-85.9013,http://www.gunviolencearchive.org/incident/311784,010150014003010,01,015,001400,3010,01015001400,8.21,0.01
293501,2/14/15,Alabama,Auburn,Auburn,600 block of Spencer Avenue,1,0,32.6192,-85.4911,http://www.gunviolencearchive.org/incident/293501,010810406022000,01,081,040602,2000,01081040602,5.56,0.14
307346,3/11/15,Alabama,Baldwin County,Baldwin County,8600 block of Cliffs Landing Road,1,0,30.8621,-87.8906,http://www.gunviolencearchive.org/incident/307346,010030103003078,01,003,010300,3078,01003010300,132.72,8.95
457277,11/30/15,Alabama,Bessemer,Bessemer,271 Woodward Ave,1,0,33.4216,-86.9414,http://www.gunviolencearchive.org/incident/457277,010730101001008,01,073,010100,1008,01073010100,0.93,0.00
342709,5/17/15,Alabama,Bessemer,Bessemer,1500 block of 9th Avenue North,1,0,33.4029,-86.9645,http://www.gunviolencearchive.org/incident/342709,010730102002099,01,073,010200,2099,01073010200,1.40,0.00
466558,12/16/15,Alabama,Bessemer,Bessemer,491 14th St,1,0,33.3982,-86.9599,http://www.gunviolencearchive.org/incident/466558,010730102003000,01,073,010200,3000,01073010200,1.40,0.00
426407,10/5/15,Alabama,Bessemer,Bessemer,Fairfax Avenue and 16th Street,1,0,33.3932,-86.9455,http://www.gunviolencearchive.org/incident/426407,010730103011027,01,073,010301,1027,01073010301,0.80,0.00
467189,12/16/15,Alabama,Bessemer,Bessemer,Highway 150 and Fairfax Avenue,1,0,33.3909,-86.9472,http://www.gunviolencearchive.org/incident/467189,010730103012010,01,073,010301,2010,01073010301,0.80,0.00
384367,7/26/15,Alabama,Bessemer,Bessemer,80 Alabama Ave.,1,0,33.3806,-86.9671,http://www.gunviolencearchive.org/incident/384367,010730104013049,01,073,010401,3049,01073010401,1.53,0.00
435044,10/17/15,Alabama,Bessemer,Bessemer,Chestnut Avenue and Bluebell Street,1,0,33.3764,-86.9656,http://www.gunviolencearchive.org/incident/435044,010730104014023,01,073,010401,4023,01073010401,1.53,0.00
411755,9/8/15,Alabama,Bessemer,Bessemer,600 block of West Lake Drive,2,0,33.3908,-86.9734,http://www.gunviolencearchive.org/incident/411755,010730104021001,01,073,010402,1001,01073010402,0.94,0.00
